control_only_wins_c,min_cope_only_wins_b_raw_lt_05,raw_p_at_boundary_05,net_wins_05,min_cope_only_wins_b_raw_lt_025,raw_p_at_boundary_025,net_wins_025
0,6,0.03125000,6,7,0.01562500,7
1,8,0.03906250,7,9,0.02148438,8
2,10,0.03857422,8,11,0.02246094,9
3,12,0.03515625,9,13,0.02127075,10
4,13,0.04904175,9,15,0.01921082,11
5,15,0.04138947,10,17,0.01690054,12
6,17,0.03468966,11,18,0.02265584,12
7,18,0.04328525,11,20,0.01915729,13
8,20,0.03569814,12,21,0.02411954,13
9,21,0.04277395,12,23,0.02006161,14
10,23,0.03508203,13,24,0.02430651,14
11,24,0.04095959,13,26,0.02007385,15
12,25,0.04703103,13,27,0.02370270,15
13,27,0.03847731,14,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
