p_cope_only,p_control_only,single_weak_raw_lt_05,single_strong_raw_lt_025,two_control_holm_independence
0.150,0.000,0.5675,0.3933,0.2917
0.150,0.025,0.3177,0.2076,0.0888
0.150,0.050,0.1724,0.1074,0.0255
0.150,0.100,0.0473,0.0271,0.0018
0.200,0.000,0.8387,0.7141,0.6879
0.200,0.025,0.5699,0.4482,0.3100
0.200,0.050,0.3637,0.2684,0.1232
0.200,0.100,0.1333,0.0868,0.0156
0.250,0.000,0.9567,0.9038,0.9125
0.250,0.025,0.7679,0.6735,0.5808
0.250,0.050,0.5674,0.4647,0.3114
0.250,0.100,0.2709,0.1900,0.0668
0.300,0.000,0.9914,0.9762,0.9826
0.300,0.025,0.8910,0.8323,0.7904
0.300,0.050,0.7406,0.6483,0.5399
0.300,0.100,0.4397,0.3274,0.1807
0.350,0.000,0.9987,0.9956,0.9974
0.350,0.025,0.9553,0.9239,0.9116
0.350,0.050,0.8630,0.7908,0.7396
0.350,0.100,0.6052,0.4805,0.3507
0.400,0.000,0.9999,0.9994,0.9997
0.400,0.025,0.9841,0.9691,0.9681
0.400,0.050,0.9358,0.8868,0.8733
0.400,0.100,0.7423,0.6299,0.5384
