case_id,first_sha256,second_sha256,byte_identical
no_op,21d97148fc10b8acccf79a269072d84bc9f1a9ce26f6f403bd6c7ff096fa6060,21d97148fc10b8acccf79a269072d84bc9f1a9ce26f6f403bd6c7ff096fa6060,True
cancel_sibling,d1deb95d97b26b1ece5039ddb368ddfb6771686bb6b11586be10dd787668b73e,d1deb95d97b26b1ece5039ddb368ddfb6771686bb6b11586be10dd787668b73e,True
replace_pending_target,f20d58bb43a0947139d64fac92be6de19e6dc2ffc2b54a7bcdb38ff3a3b76cbe,f20d58bb43a0947139d64fac92be6de19e6dc2ffc2b54a7bcdb38ff3a3b76cbe,True
activate_override,743d7541b209fef338aaa155c3405b6af98b60b6bb298c61366a3110cef5af0e,743d7541b209fef338aaa155c3405b6af98b60b6bb298c61366a3110cef5af0e,True
release_override,085a7cd4f1debb8364381c8e14973f455ba6e4dde03735306fa9137181dc8b92,085a7cd4f1debb8364381c8e14973f455ba6e4dde03735306fa9137181dc8b92,True
world_change_release,9058bea88a5dc11a0eba012d6f6e53cfbc34dc732cfc1f2920f7560b66bbab32,9058bea88a5dc11a0eba012d6f6e53cfbc34dc732cfc1f2920f7560b66bbab32,True
wrong_source_revoke,cfc3e76241500412429c30c4500b22e6fc92e2254e7e06ffb27b2c4d3eb317aa,cfc3e76241500412429c30c4500b22e6fc92e2254e7e06ffb27b2c4d3eb317aa,True
stale_version,e810a52329321f8db28ce28a726c9051b150f21d789cb84efd4003e449e53a9e,e810a52329321f8db28ce28a726c9051b150f21d789cb84efd4003e449e53a9e,True
idempotence,3c5ced3fe23f7c1cf0ef903d47e7c31aa539cc314067bde3fd45452314b9efa8,3c5ced3fe23f7c1cf0ef903d47e7c31aa539cc314067bde3fd45452314b9efa8,True
irrelevant_sibling_change,1cc59e88583b29feaa4e1c6ecb84218c9e4eebe0b69d698b8c33db8741b97773,1cc59e88583b29feaa4e1c6ecb84218c9e4eebe0b69d698b8c33db8741b97773,True
continuity_valid,28e779ffa1c0fadd81bfeb69bcaf61c8ecabbb15fdfbd3efde03e8f10d58771d,28e779ffa1c0fadd81bfeb69bcaf61c8ecabbb15fdfbd3efde03e8f10d58771d,True
continuity_invalid,e0c66d889ce8aa3557ecdf05fe93a8120e1cde9c4731ac0b955864422e5b4cbd,e0c66d889ce8aa3557ecdf05fe93a8120e1cde9c4731ac0b955864422e5b4cbd,True
