case_id,family,method,warmups,recorded_repetitions,median_total_ns,median_peak_bytes
no_op,no_op,compact_tx,20,100,1112585,20039
no_op,no_op,verbose_tx,20,100,1107965,20287
no_op,no_op,cope,20,100,610526,15881
no_op,no_op,fsr_pc,20,100,577334,15881
cancel_sibling,cancellation,compact_tx,20,100,1191209,18721
cancel_sibling,cancellation,verbose_tx,20,100,1335033,20561
cancel_sibling,cancellation,cope,20,100,582155,13859
cancel_sibling,cancellation,fsr_pc,20,100,541106,13859
replace_pending_target,replacement,compact_tx,20,100,1478400,25174
replace_pending_target,replacement,verbose_tx,20,100,1752647,29393
replace_pending_target,replacement,cope,20,100,706009,20200
replace_pending_target,replacement,fsr_pc,20,100,661815,20200
activate_override,override,compact_tx,20,100,1427829,24276
activate_override,override,verbose_tx,20,100,1674406,28040
activate_override,override,cope,20,100,676355,19054
activate_override,override,fsr_pc,20,100,630705,19054
release_override,release,compact_tx,20,100,1487957,25139
release_override,release,verbose_tx,20,100,1691286,28078
release_override,release,cope,20,100,733993,19815
release_override,release,fsr_pc,20,100,687580,19815
world_change_release,release_world_change,compact_tx,20,100,1558359,25655
world_change_release,release_world_change,verbose_tx,20,100,1803383,29434
world_change_release,release_world_change,cope,20,100,755240,20227
world_change_release,release_world_change,fsr_pc,20,100,709275,20227
wrong_source_revoke,authorization,compact_tx,20,100,1111633,20039
wrong_source_revoke,authorization,verbose_tx,20,100,1107102,20287
wrong_source_revoke,authorization,cope,20,100,607366,15881
wrong_source_revoke,authorization,fsr_pc,20,100,574871,15881
stale_version,version,compact_tx,20,100,1108835,20039
stale_version,version,verbose_tx,20,100,1106392,20287
stale_version,version,cope,20,100,605285,15881
stale_version,version,fsr_pc,20,100,574801,15881
idempotence,idempotence,compact_tx,20,100,1105807,20039
idempotence,idempotence,verbose_tx,20,100,1103654,20287
idempotence,idempotence,cope,20,100,604439,15881
idempotence,idempotence,fsr_pc,20,100,573434,15881
irrelevant_sibling_change,irrelevant_change,compact_tx,20,100,1157806,20178
irrelevant_sibling_change,irrelevant_change,verbose_tx,20,100,1209086,21040
irrelevant_sibling_change,irrelevant_change,cope,20,100,618557,15956
irrelevant_sibling_change,irrelevant_change,fsr_pc,20,100,582546,15956
continuity_valid,continuity,compact_tx,20,100,1154110,20159
continuity_valid,continuity,verbose_tx,20,100,1203480,21021
continuity_valid,continuity,cope,20,100,617503,15935
continuity_valid,continuity,fsr_pc,20,100,580257,15935
continuity_invalid,continuity,compact_tx,20,100,1475170,25637
continuity_invalid,continuity,verbose_tx,20,100,1773263,29801
continuity_invalid,continuity,cope,20,100,710971,20181
continuity_invalid,continuity,fsr_pc,20,100,655067,20181
