case_id,state_id,family,arm,timing,pair_group,max_move_steps,assigned,development_state,reserved_state_allowed
q000,0,reset,original_reset,,reset_state00,60,true,true,false
q001,0,reset,updated_reset,,reset_state00,60,true,true,false
q002,0,milestone,checkpoint_no_edit,,milestone_state00,60,true,true,false
q003,0,milestone,checkpoint_oracle_full,,milestone_state00,60,true,true,false
q004,0,milestone,checkpoint_oracle_patch,,milestone_state00,60,true,true,false
q005,0,no_event,no_event_plain,,no_event_state00,60,true,true,false
q006,0,no_event,no_event_semantic_scaffold,,no_event_state00,60,true,true,false
q007,0,timing,stale_continue,post_lift,timing_state00_post_lift,60,true,true,false
q008,0,timing,local_stage_switch,post_lift,timing_state00_post_lift,60,true,true,false
q009,0,timing,stale_continue,mid_transfer,timing_state00_mid_transfer,60,true,true,false
q010,0,timing,local_stage_switch,mid_transfer,timing_state00_mid_transfer,60,true,true,false
q011,0,timing,stale_continue,pre_release,timing_state00_pre_release,60,true,true,false
q012,0,timing,local_stage_switch,pre_release,timing_state00_pre_release,60,true,true,false
q013,0,repeated,second_event_no_edit,,repeated_state00,60,true,true,false
q014,0,repeated,double_patch,,repeated_state00,60,true,true,false
q015,1,reset,original_reset,,reset_state01,60,true,true,false
q016,1,reset,updated_reset,,reset_state01,60,true,true,false
q017,1,milestone,checkpoint_no_edit,,milestone_state01,60,true,true,false
q018,1,milestone,checkpoint_oracle_full,,milestone_state01,60,true,true,false
q019,1,milestone,checkpoint_oracle_patch,,milestone_state01,60,true,true,false
q020,1,no_event,no_event_plain,,no_event_state01,60,true,true,false
q021,1,no_event,no_event_semantic_scaffold,,no_event_state01,60,true,true,false
q022,1,timing,stale_continue,post_lift,timing_state01_post_lift,60,true,true,false
q023,1,timing,local_stage_switch,post_lift,timing_state01_post_lift,60,true,true,false
q024,1,timing,stale_continue,mid_transfer,timing_state01_mid_transfer,60,true,true,false
q025,1,timing,local_stage_switch,mid_transfer,timing_state01_mid_transfer,60,true,true,false
q026,1,timing,stale_continue,pre_release,timing_state01_pre_release,60,true,true,false
q027,1,timing,local_stage_switch,pre_release,timing_state01_pre_release,60,true,true,false
q028,1,repeated,second_event_no_edit,,repeated_state01,60,true,true,false
q029,1,repeated,double_patch,,repeated_state01,60,true,true,false
q030,2,reset,original_reset,,reset_state02,60,true,true,false
q031,2,reset,updated_reset,,reset_state02,60,true,true,false
q032,2,milestone,checkpoint_no_edit,,milestone_state02,60,true,true,false
q033,2,milestone,checkpoint_oracle_full,,milestone_state02,60,true,true,false
q034,2,milestone,checkpoint_oracle_patch,,milestone_state02,60,true,true,false
q035,2,no_event,no_event_plain,,no_event_state02,60,true,true,false
q036,2,no_event,no_event_semantic_scaffold,,no_event_state02,60,true,true,false
q037,2,timing,stale_continue,post_lift,timing_state02_post_lift,60,true,true,false
q038,2,timing,local_stage_switch,post_lift,timing_state02_post_lift,60,true,true,false
q039,2,timing,stale_continue,mid_transfer,timing_state02_mid_transfer,60,true,true,false
q040,2,timing,local_stage_switch,mid_transfer,timing_state02_mid_transfer,60,true,true,false
q041,2,timing,stale_continue,pre_release,timing_state02_pre_release,60,true,true,false
q042,2,timing,local_stage_switch,pre_release,timing_state02_pre_release,60,true,true,false
q043,2,repeated,second_event_no_edit,,repeated_state02,60,true,true,false
q044,2,repeated,double_patch,,repeated_state02,60,true,true,false
q045,3,reset,original_reset,,reset_state03,60,true,true,false
q046,3,reset,updated_reset,,reset_state03,60,true,true,false
q047,3,milestone,checkpoint_no_edit,,milestone_state03,60,true,true,false
q048,3,milestone,checkpoint_oracle_full,,milestone_state03,60,true,true,false
q049,3,milestone,checkpoint_oracle_patch,,milestone_state03,60,true,true,false
q050,3,no_event,no_event_plain,,no_event_state03,60,true,true,false
q051,3,no_event,no_event_semantic_scaffold,,no_event_state03,60,true,true,false
q052,3,timing,stale_continue,post_lift,timing_state03_post_lift,60,true,true,false
q053,3,timing,local_stage_switch,post_lift,timing_state03_post_lift,60,true,true,false
q054,3,timing,stale_continue,mid_transfer,timing_state03_mid_transfer,60,true,true,false
q055,3,timing,local_stage_switch,mid_transfer,timing_state03_mid_transfer,60,true,true,false
q056,3,timing,stale_continue,pre_release,timing_state03_pre_release,60,true,true,false
q057,3,timing,local_stage_switch,pre_release,timing_state03_pre_release,60,true,true,false
q058,3,repeated,second_event_no_edit,,repeated_state03,60,true,true,false
q059,3,repeated,double_patch,,repeated_state03,60,true,true,false
q060,4,reset,original_reset,,reset_state04,60,true,true,false
q061,4,reset,updated_reset,,reset_state04,60,true,true,false
q062,4,milestone,checkpoint_no_edit,,milestone_state04,60,true,true,false
q063,4,milestone,checkpoint_oracle_full,,milestone_state04,60,true,true,false
q064,4,milestone,checkpoint_oracle_patch,,milestone_state04,60,true,true,false
q065,4,no_event,no_event_plain,,no_event_state04,60,true,true,false
q066,4,no_event,no_event_semantic_scaffold,,no_event_state04,60,true,true,false
q067,4,timing,stale_continue,post_lift,timing_state04_post_lift,60,true,true,false
q068,4,timing,local_stage_switch,post_lift,timing_state04_post_lift,60,true,true,false
q069,4,timing,stale_continue,mid_transfer,timing_state04_mid_transfer,60,true,true,false
q070,4,timing,local_stage_switch,mid_transfer,timing_state04_mid_transfer,60,true,true,false
q071,4,timing,stale_continue,pre_release,timing_state04_pre_release,60,true,true,false
q072,4,timing,local_stage_switch,pre_release,timing_state04_pre_release,60,true,true,false
q073,4,repeated,second_event_no_edit,,repeated_state04,60,true,true,false
q074,4,repeated,double_patch,,repeated_state04,60,true,true,false
