case_id,state_id,family,arm,timing,pair_group,assigned,runner_exit_code,pre_event_failure,goal_success,updated_goal_success,original_goal_success,progress_retained,stale_action_executed,within_horizon,semantic_integrity_pass,comparison_step,action_prefix_sha256,sim_state_sha256,eef_at_event,held_position_at_event,terminal_predicate_fingerprint,controller_privilege,oracle_geometry_used,learned_policy_used,provider_called,shared_init_container_loaded,reset_state_index,reserved_state_indexed,checkpoint_access,raw_csv,paired_provenance_pass
q000,0,reset,original_reset,,reset_state00,True,0,False,True,False,True,True,True,True,True,10,3ece8034d088a79ebbd6c8693110219466cb725df98624efa7af588c3c4cea00,1ef81e2cede097cd1498440daaeb2f820dbb8b1843f382a62f4d93c43992c9d7,,,True|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q000.csv,True
q001,0,reset,updated_reset,,reset_state00,True,0,False,True,True,False,True,False,True,True,10,3ece8034d088a79ebbd6c8693110219466cb725df98624efa7af588c3c4cea00,1ef81e2cede097cd1498440daaeb2f820dbb8b1843f382a62f4d93c43992c9d7,,,True|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q001.csv,True
q002,0,milestone,checkpoint_no_edit,,milestone_state00,True,0,False,True,False,True,True,True,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q002.csv,True
q003,0,milestone,checkpoint_oracle_full,,milestone_state00,True,0,False,True,True,False,True,False,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q003.csv,True
q004,0,milestone,checkpoint_oracle_patch,,milestone_state00,True,0,False,True,True,False,True,False,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q004.csv,True
q005,0,no_event,no_event_plain,,no_event_state00,True,0,False,True,False,True,True,True,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q005.csv,True
q006,0,no_event,no_event_semantic_scaffold,,no_event_state00,True,0,False,True,False,True,True,True,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q006.csv,True
q007,0,timing,stale_continue,post_lift,timing_state00_post_lift,True,0,False,False,False,False,True,True,True,True,280,f1f3cb6e975c7f9babfae053b41c21cb7478c669e363887722e0b7a113df9ead,90f02608bdb1d0d01303f30b639076a04f71809e2f7b1e9710b437137cde7927,"[-0.108214809,-0.149701486,0.679352502]","[-0.101974559,-0.149104608,0.673123933]",True|False|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q007.csv,True
q008,0,timing,local_stage_switch,post_lift,timing_state00_post_lift,True,0,False,True,True,False,True,False,True,True,280,f1f3cb6e975c7f9babfae053b41c21cb7478c669e363887722e0b7a113df9ead,90f02608bdb1d0d01303f30b639076a04f71809e2f7b1e9710b437137cde7927,"[-0.108214809,-0.149701486,0.679352502]","[-0.101974559,-0.149104608,0.673123933]",True|False|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q008.csv,True
q009,0,timing,stale_continue,mid_transfer,timing_state00_mid_transfer,True,0,False,False,False,False,True,True,True,True,299,4cfedb48d8395dbc01ec8f2ab91e192090830cceae338f72921a98a98cf92bee,c02626691ad8a4a263ae52eb40d5455f8b9a6806f0c4d3fd5cc7eda8801d973e,"[-0.049963192,0.055929988,0.717431441]","[-0.043628147,0.056377143,0.711093808]",True|False|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q009.csv,True
q010,0,timing,local_stage_switch,mid_transfer,timing_state00_mid_transfer,True,0,False,True,True,False,True,False,True,True,299,4cfedb48d8395dbc01ec8f2ab91e192090830cceae338f72921a98a98cf92bee,c02626691ad8a4a263ae52eb40d5455f8b9a6806f0c4d3fd5cc7eda8801d973e,"[-0.049963192,0.055929988,0.717431441]","[-0.043628147,0.056377143,0.711093808]",True|False|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q010.csv,True
q011,0,timing,stale_continue,pre_release,timing_state00_pre_release,True,0,False,False,False,False,True,True,True,True,315,4d85f30ab0b76f4296bb8f1b3fffdecf8ccf50e294d9e90dfed5b7489c591723,ae46f93bef3f02972fbc6745ce3d8d261066bfe0c420310847f06e89c6145e49,"[0.00600457,0.264624458,0.753642113]","[0.012624545,0.264875017,0.747391365]",True|False|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q011.csv,True
q012,0,timing,local_stage_switch,pre_release,timing_state00_pre_release,True,0,False,True,True,False,True,False,True,True,315,4d85f30ab0b76f4296bb8f1b3fffdecf8ccf50e294d9e90dfed5b7489c591723,ae46f93bef3f02972fbc6745ce3d8d261066bfe0c420310847f06e89c6145e49,"[0.00600457,0.264624458,0.753642113]","[0.012624545,0.264875017,0.747391365]",True|False|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q012.csv,True
q013,0,repeated,second_event_no_edit,,repeated_state00,True,0,False,False,False,False,True,True,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|False|True|False,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q013.csv,True
q014,0,repeated,double_patch,,repeated_state00,True,0,False,True,True,False,True,False,True,True,188,8bb1bb8503d88e6815e03b605440bf8de70321260d7c46ff73e55586fb43a269,34ac87c397b51d922669f9cb0b73ed8973dbd1130022ce27b6c24a220fd84281,,,True|False|False|True,simulator_geometry_oracle,True,False,False,True,0,False,deterministic_replay_and_simulator_hash,q014.csv,True
q015,1,reset,original_reset,,reset_state01,True,0,False,True,False,True,True,True,True,True,10,3ece8034d088a79ebbd6c8693110219466cb725df98624efa7af588c3c4cea00,51dd7ab75dd0d230e4b408410a3bec812f39c97c767c87ba7424cc16f5aefe47,,,True|True|False,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q015.csv,True
q016,1,reset,updated_reset,,reset_state01,True,0,False,True,True,False,True,False,True,True,10,3ece8034d088a79ebbd6c8693110219466cb725df98624efa7af588c3c4cea00,51dd7ab75dd0d230e4b408410a3bec812f39c97c767c87ba7424cc16f5aefe47,,,True|False|True,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q016.csv,True
q017,1,milestone,checkpoint_no_edit,,milestone_state01,True,0,False,True,False,True,True,True,True,True,202,0ccdeb2ccf5a898727816837be36d159be4a448b1e1966c0fbebfd3d5d66a2c4,5ea47c06270b88443f2d39a54444c5b5bffffffd638ff94c3ac56232036a6479,,,True|True|False,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q017.csv,True
q018,1,milestone,checkpoint_oracle_full,,milestone_state01,True,0,False,True,True,False,True,False,True,True,202,0ccdeb2ccf5a898727816837be36d159be4a448b1e1966c0fbebfd3d5d66a2c4,5ea47c06270b88443f2d39a54444c5b5bffffffd638ff94c3ac56232036a6479,,,True|False|True,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q018.csv,True
q019,1,milestone,checkpoint_oracle_patch,,milestone_state01,True,0,False,True,True,False,True,False,True,True,202,0ccdeb2ccf5a898727816837be36d159be4a448b1e1966c0fbebfd3d5d66a2c4,5ea47c06270b88443f2d39a54444c5b5bffffffd638ff94c3ac56232036a6479,,,True|False|True,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q019.csv,True
q020,1,no_event,no_event_plain,,no_event_state01,True,0,False,True,False,True,True,True,True,True,202,0ccdeb2ccf5a898727816837be36d159be4a448b1e1966c0fbebfd3d5d66a2c4,5ea47c06270b88443f2d39a54444c5b5bffffffd638ff94c3ac56232036a6479,,,True|True|False,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q020.csv,True
q021,1,no_event,no_event_semantic_scaffold,,no_event_state01,True,0,False,True,False,True,True,True,True,True,202,0ccdeb2ccf5a898727816837be36d159be4a448b1e1966c0fbebfd3d5d66a2c4,5ea47c06270b88443f2d39a54444c5b5bffffffd638ff94c3ac56232036a6479,,,True|True|False,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q021.csv,True
q022,1,timing,stale_continue,post_lift,timing_state01_post_lift,True,0,False,False,False,False,True,True,True,True,293,135ce65642d0725f2d4fbd62763a4a54744a111d38e0b6ab4a896d6b5b38fb16,9c2227794b6463aa3fd09167ef318aaffaf01e14d9f415088b1907b47f8e063d,"[-0.079117577,-0.134016574,0.679545321]","[-0.073458848,-0.132738898,0.67327861]",True|False|True|False,simulator_geometry_oracle,True,False,False,True,1,False,deterministic_replay_and_simulator_hash,q022.csv,True
