schedule,arm,deliveries,publications,rejections,crashes,staged_aborts,directive_count,final_state_correct,final_state_sha256,caller_unchanged_on_rejection,typed_revision_synchronized,provider_calls,simulator_states_indexed,passed
nominal,cope,2,2,0,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
nominal,neutral_patch,2,2,0,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
nominal,governed_delta,2,2,0,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
nominal,fsr_pc,2,2,0,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
immediate_duplicate,cope,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
immediate_duplicate,neutral_patch,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
immediate_duplicate,governed_delta,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
immediate_duplicate,fsr_pc,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
delayed_duplicate,cope,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
delayed_duplicate,neutral_patch,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
delayed_duplicate,governed_delta,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
delayed_duplicate,fsr_pc,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
out_of_order,cope,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
out_of_order,neutral_patch,3,2,1,0,0,2,True,38c3fa1c869725dbdda831dc99a12c3fbfc30f9e44d3e13fa68f685e55d98b7b,True,True,0,0,True
