check,pass,detail
rows_180,True,180
triplets_60,True,60
fresh_manifest_status,True,fresh60
reasoning_none,True,
smoke_pass_expanded,True,
provider_ok_180,True,
fair_60,True,60
response_hashes_180_unique,True,
cope_28,True,28
compact_18,True,18
fsr_5,True,5
paired_cells_22_12,True,
clusters_4_2_6,True,
no_cope_compact_safety,True,
substantive_wins_21,True,21
positions_20_each,True,
cluster_rows_12,True,12
decision_go_preparation,True,GO_TRUE_CLEAN_PREPARATION
credential_not_logged_flag,True,False
