arm,family,category,count
compact_tx,authorization,semantic_invalid,5
compact_tx,cancellation,parser_invalid,5
compact_tx,continuity_conflict,parser_invalid,2
compact_tx,continuity_conflict,semantic_invalid,3
compact_tx,continuity_valid,semantic_invalid,3
compact_tx,continuity_valid,valid,2
compact_tx,idempotence,valid,5
compact_tx,irrelevant_change,semantic_invalid,4
compact_tx,irrelevant_change,valid,1
compact_tx,no_op,valid,5
compact_tx,override,parser_invalid,4
compact_tx,override,semantic_invalid,1
compact_tx,release,parser_invalid,1
compact_tx,release,semantic_invalid,4
compact_tx,release_world_change,parser_invalid,1
compact_tx,release_world_change,semantic_invalid,4
compact_tx,replacement,semantic_invalid,5
compact_tx,version,valid,5
cope,authorization,semantic_invalid,5
cope,cancellation,valid,5
cope,continuity_conflict,semantic_invalid,5
cope,continuity_valid,semantic_invalid,3
cope,continuity_valid,valid,2
cope,idempotence,semantic_invalid,5
cope,irrelevant_change,semantic_invalid,4
cope,irrelevant_change,valid,1
cope,no_op,valid,5
cope,override,valid,5
cope,release,valid,5
cope,release_world_change,valid,5
cope,replacement,semantic_invalid,5
cope,version,semantic_invalid,5
fsr_pc,authorization,semantic_invalid,5
fsr_pc,cancellation,semantic_invalid,5
fsr_pc,continuity_conflict,semantic_invalid,5
fsr_pc,continuity_valid,semantic_invalid,3
fsr_pc,continuity_valid,valid,2
fsr_pc,idempotence,semantic_invalid,5
fsr_pc,irrelevant_change,semantic_invalid,3
fsr_pc,irrelevant_change,valid,2
fsr_pc,no_op,semantic_invalid,4
fsr_pc,no_op,valid,1
fsr_pc,override,semantic_invalid,5
fsr_pc,release,semantic_invalid,5
fsr_pc,release_world_change,semantic_invalid,5
fsr_pc,replacement,semantic_invalid,5
fsr_pc,version,semantic_invalid,5
