arm,family,category,count
compact_tx,authorization,parser_invalid,1
compact_tx,cancellation,parser_invalid,1
compact_tx,continuity,parser_invalid,1
compact_tx,continuity,semantic_invalid,1
compact_tx,idempotence,valid,1
compact_tx,irrelevant_change,semantic_invalid,1
compact_tx,no_op,valid,1
compact_tx,override,semantic_invalid,1
compact_tx,release,parser_invalid,1
compact_tx,release_world_change,parser_invalid,1
compact_tx,replacement,parser_invalid,1
compact_tx,version,valid,1
cope,authorization,semantic_invalid,1
cope,cancellation,valid,1
cope,continuity,semantic_invalid,1
cope,continuity,valid,1
cope,idempotence,valid,1
cope,irrelevant_change,semantic_invalid,1
cope,no_op,valid,1
cope,override,valid,1
cope,release,valid,1
cope,release_world_change,valid,1
cope,replacement,semantic_invalid,1
cope,version,semantic_invalid,1
fsr_pc,authorization,semantic_invalid,1
fsr_pc,cancellation,semantic_invalid,1
fsr_pc,continuity,semantic_invalid,2
fsr_pc,idempotence,semantic_invalid,1
fsr_pc,irrelevant_change,semantic_invalid,1
fsr_pc,no_op,semantic_invalid,1
fsr_pc,override,semantic_invalid,1
fsr_pc,release,semantic_invalid,1
fsr_pc,release_world_change,semantic_invalid,1
fsr_pc,replacement,semantic_invalid,1
fsr_pc,version,semantic_invalid,1
