case_id,arm,recurrence_depth,input_sha256,normalized_request_sha256,output_contract_sha256,oracle_candidate_sha256,oracle_proposal_bytes,wire_bytes
occurrence-t00-d1,cope,1,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,fe73cc5d0f74426cfc8bca1275f8f6e2f9d39712f74f37670961710b3e97dd10,673f4a2728cc9a77fc8f19cc098ee2b8866306530f1e889827759a7eaf5c949b,7477bae5bf36618843b5374d638f593c6dd26d87c1211b3eea9f11bf6853244a,278,5976
occurrence-t00-d1,neutral_patch,1,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,fe73cc5d0f74426cfc8bca1275f8f6e2f9d39712f74f37670961710b3e97dd10,611fcc351095c2a2cdd487519fb4595d38c7276ebf7d9cf5b69bfc8e247dee64,7477bae5bf36618843b5374d638f593c6dd26d87c1211b3eea9f11bf6853244a,1736,6039
occurrence-t00-d1,governed_delta,1,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,fe73cc5d0f74426cfc8bca1275f8f6e2f9d39712f74f37670961710b3e97dd10,af9597298e0b4df308ff2c320d0385f19ed1154ae2cf2426c1decc0276abaf6b,7477bae5bf36618843b5374d638f593c6dd26d87c1211b3eea9f11bf6853244a,1993,6045
occurrence-t00-d1,fsr_pc,1,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,fe73cc5d0f74426cfc8bca1275f8f6e2f9d39712f74f37670961710b3e97dd10,d187dc50c24becc7126aea356421a76c4e806488d3b58b290838eb1c428da387,7477bae5bf36618843b5374d638f593c6dd26d87c1211b3eea9f11bf6853244a,2820,5838
occurrence-t00-d1,full_replan,1,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,fe73cc5d0f74426cfc8bca1275f8f6e2f9d39712f74f37670961710b3e97dd10,059327311d8696f1b4a74a87457b9eb6343d487d40fa14fa1d452955721428c8,7477bae5bf36618843b5374d638f593c6dd26d87c1211b3eea9f11bf6853244a,418,5897
occurrence-t00-d2,neutral_patch,2,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,a51d24bd561f6ac8f3830a8f15d33467e8956e7693cb92e5790a3ea0aea0d538,611fcc351095c2a2cdd487519fb4595d38c7276ebf7d9cf5b69bfc8e247dee64,28f823661df4aff6a91e76cab7b067ac15abebe631a6ee535aec8d19f8d62b52,1736,7201
occurrence-t00-d2,governed_delta,2,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,a51d24bd561f6ac8f3830a8f15d33467e8956e7693cb92e5790a3ea0aea0d538,af9597298e0b4df308ff2c320d0385f19ed1154ae2cf2426c1decc0276abaf6b,28f823661df4aff6a91e76cab7b067ac15abebe631a6ee535aec8d19f8d62b52,1993,7207
occurrence-t00-d2,fsr_pc,2,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,a51d24bd561f6ac8f3830a8f15d33467e8956e7693cb92e5790a3ea0aea0d538,d187dc50c24becc7126aea356421a76c4e806488d3b58b290838eb1c428da387,28f823661df4aff6a91e76cab7b067ac15abebe631a6ee535aec8d19f8d62b52,3874,7000
occurrence-t00-d2,full_replan,2,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,a51d24bd561f6ac8f3830a8f15d33467e8956e7693cb92e5790a3ea0aea0d538,059327311d8696f1b4a74a87457b9eb6343d487d40fa14fa1d452955721428c8,28f823661df4aff6a91e76cab7b067ac15abebe631a6ee535aec8d19f8d62b52,514,7059
occurrence-t00-d2,cope,2,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,a51d24bd561f6ac8f3830a8f15d33467e8956e7693cb92e5790a3ea0aea0d538,673f4a2728cc9a77fc8f19cc098ee2b8866306530f1e889827759a7eaf5c949b,28f823661df4aff6a91e76cab7b067ac15abebe631a6ee535aec8d19f8d62b52,278,7138
occurrence-t00-d3,governed_delta,3,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,cee97d273f472f6a4d619139f8e519e6fddb14098c1ca90eae2439d4efecd72c,af9597298e0b4df308ff2c320d0385f19ed1154ae2cf2426c1decc0276abaf6b,f3ab5db25978615863d64822accfb6634be646ca3bef85e764dae5bba4a03cd9,1993,8369
occurrence-t00-d3,fsr_pc,3,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,cee97d273f472f6a4d619139f8e519e6fddb14098c1ca90eae2439d4efecd72c,d187dc50c24becc7126aea356421a76c4e806488d3b58b290838eb1c428da387,f3ab5db25978615863d64822accfb6634be646ca3bef85e764dae5bba4a03cd9,4928,8162
occurrence-t00-d3,full_replan,3,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,cee97d273f472f6a4d619139f8e519e6fddb14098c1ca90eae2439d4efecd72c,059327311d8696f1b4a74a87457b9eb6343d487d40fa14fa1d452955721428c8,f3ab5db25978615863d64822accfb6634be646ca3bef85e764dae5bba4a03cd9,610,8221
occurrence-t00-d3,cope,3,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,cee97d273f472f6a4d619139f8e519e6fddb14098c1ca90eae2439d4efecd72c,673f4a2728cc9a77fc8f19cc098ee2b8866306530f1e889827759a7eaf5c949b,f3ab5db25978615863d64822accfb6634be646ca3bef85e764dae5bba4a03cd9,278,8300
occurrence-t00-d3,neutral_patch,3,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,cee97d273f472f6a4d619139f8e519e6fddb14098c1ca90eae2439d4efecd72c,611fcc351095c2a2cdd487519fb4595d38c7276ebf7d9cf5b69bfc8e247dee64,f3ab5db25978615863d64822accfb6634be646ca3bef85e764dae5bba4a03cd9,1736,8363
occurrence-t00-d4,fsr_pc,4,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,4513d069aaf7248fac0eaee0cdd83ac97be70b69d8e85e3be12dd936e8aa6360,d187dc50c24becc7126aea356421a76c4e806488d3b58b290838eb1c428da387,2327b0534b0b0b85ad83d4ab825a111758a2a8d891adde7ed643a05abdcb7a49,5982,9324
occurrence-t00-d4,full_replan,4,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,4513d069aaf7248fac0eaee0cdd83ac97be70b69d8e85e3be12dd936e8aa6360,059327311d8696f1b4a74a87457b9eb6343d487d40fa14fa1d452955721428c8,2327b0534b0b0b85ad83d4ab825a111758a2a8d891adde7ed643a05abdcb7a49,706,9383
occurrence-t00-d4,cope,4,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,4513d069aaf7248fac0eaee0cdd83ac97be70b69d8e85e3be12dd936e8aa6360,673f4a2728cc9a77fc8f19cc098ee2b8866306530f1e889827759a7eaf5c949b,2327b0534b0b0b85ad83d4ab825a111758a2a8d891adde7ed643a05abdcb7a49,278,9462
occurrence-t00-d4,neutral_patch,4,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,4513d069aaf7248fac0eaee0cdd83ac97be70b69d8e85e3be12dd936e8aa6360,611fcc351095c2a2cdd487519fb4595d38c7276ebf7d9cf5b69bfc8e247dee64,2327b0534b0b0b85ad83d4ab825a111758a2a8d891adde7ed643a05abdcb7a49,1736,9525
occurrence-t00-d4,governed_delta,4,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,4513d069aaf7248fac0eaee0cdd83ac97be70b69d8e85e3be12dd936e8aa6360,af9597298e0b4df308ff2c320d0385f19ed1154ae2cf2426c1decc0276abaf6b,2327b0534b0b0b85ad83d4ab825a111758a2a8d891adde7ed643a05abdcb7a49,1993,9531
occurrence-t01-d1,full_replan,1,4a36664426548e765af7b1b029c349e50cf38b99d7f159decf138be460f3490c,3dc929cd6c7b8c71069ac4c99ad039bfd4f1a97bcc7dd79c72feb85576ad4f9a,059327311d8696f1b4a74a87457b9eb6343d487d40fa14fa1d452955721428c8,d3d106ff625a9b101dc7ed3ff9e22a2d7176f8b2cfad9fb8aefe6d4104b4a776,418,5815
occurrence-t01-d1,cope,1,4a36664426548e765af7b1b029c349e50cf38b99d7f159decf138be460f3490c,3dc929cd6c7b8c71069ac4c99ad039bfd4f1a97bcc7dd79c72feb85576ad4f9a,673f4a2728cc9a77fc8f19cc098ee2b8866306530f1e889827759a7eaf5c949b,d3d106ff625a9b101dc7ed3ff9e22a2d7176f8b2cfad9fb8aefe6d4104b4a776,279,5894
occurrence-t01-d1,neutral_patch,1,4a36664426548e765af7b1b029c349e50cf38b99d7f159decf138be460f3490c,3dc929cd6c7b8c71069ac4c99ad039bfd4f1a97bcc7dd79c72feb85576ad4f9a,611fcc351095c2a2cdd487519fb4595d38c7276ebf7d9cf5b69bfc8e247dee64,d3d106ff625a9b101dc7ed3ff9e22a2d7176f8b2cfad9fb8aefe6d4104b4a776,1756,5957
occurrence-t01-d1,governed_delta,1,4a36664426548e765af7b1b029c349e50cf38b99d7f159decf138be460f3490c,3dc929cd6c7b8c71069ac4c99ad039bfd4f1a97bcc7dd79c72feb85576ad4f9a,af9597298e0b4df308ff2c320d0385f19ed1154ae2cf2426c1decc0276abaf6b,d3d106ff625a9b101dc7ed3ff9e22a2d7176f8b2cfad9fb8aefe6d4104b4a776,2020,5963
occurrence-t01-d1,fsr_pc,1,4a36664426548e765af7b1b029c349e50cf38b99d7f159decf138be460f3490c,3dc929cd6c7b8c71069ac4c99ad039bfd4f1a97bcc7dd79c72feb85576ad4f9a,d187dc50c24becc7126aea356421a76c4e806488d3b58b290838eb1c428da387,d3d106ff625a9b101dc7ed3ff9e22a2d7176f8b2cfad9fb8aefe6d4104b4a776,2825,5756
