case_id,family,arm,common_input_bytes,contract_bytes,wire_request_bytes,oracle_proposal_bytes,request_plus_oracle_proposal_bytes,common_input_sha256,contract_sha256,provider_calls
no_op,no_op,cope,3107,873,4747,114,4861,0aa27d5ab751bb981f16fbbdfaf904dbb1f98801a3d8e6926e4221c27d09f6e8,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
no_op,no_op,compact_tx,3107,1512,5362,106,5468,0aa27d5ab751bb981f16fbbdfaf904dbb1f98801a3d8e6926e4221c27d09f6e8,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
no_op,no_op,fsr_pc,3107,711,4524,1259,5783,0aa27d5ab751bb981f16fbbdfaf904dbb1f98801a3d8e6926e4221c27d09f6e8,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
replace_pending_target,replacement,cope,3305,873,4965,211,5176,c87c092dd1a4edeff1e44051664d2514e71350dcb30c566743c7f7c2988d6fd7,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
replace_pending_target,replacement,compact_tx,3305,1512,5580,1199,6779,c87c092dd1a4edeff1e44051664d2514e71350dcb30c566743c7f7c2988d6fd7,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
replace_pending_target,replacement,fsr_pc,3305,711,4742,1643,6385,c87c092dd1a4edeff1e44051664d2514e71350dcb30c566743c7f7c2988d6fd7,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
wrong_source_revoke,authorization,cope,3180,873,4826,128,4954,151e126bc5e440186f6efb60c1451140f85215b0e72a4ae964d19489b987520d,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
wrong_source_revoke,authorization,compact_tx,3180,1512,5441,120,5561,151e126bc5e440186f6efb60c1451140f85215b0e72a4ae964d19489b987520d,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
wrong_source_revoke,authorization,fsr_pc,3180,711,4603,1259,5862,151e126bc5e440186f6efb60c1451140f85215b0e72a4ae964d19489b987520d,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
continuity_invalid,continuity,cope,3308,873,4966,259,5225,32530bcab41bf163fd5561c1deb83525e4005b6fd6d3e55066d98da3e0bd014e,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
