task_id,family,scheduled_cells,actual_returned_applications,passed_effect_checks,failed,skipped,state_ids,scope
0,goal_receptacle_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
0,target_object_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
0,temporary_no_go_zone_appears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
0,temporary_no_go_zone_disappears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
0,tool_becomes_available_again,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
0,tool_temporarily_unavailable,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
0,user_adds_gentle_preference,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,goal_receptacle_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,target_object_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,temporary_no_go_zone_appears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,temporary_no_go_zone_disappears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,tool_becomes_available_again,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,tool_temporarily_unavailable,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
1,user_adds_gentle_preference,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,goal_receptacle_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,target_object_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,temporary_no_go_zone_appears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,temporary_no_go_zone_disappears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,tool_becomes_available_again,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,tool_temporarily_unavailable,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
4,user_adds_gentle_preference,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
8,target_object_moved,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
8,temporary_no_go_zone_appears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
8,temporary_no_go_zone_disappears,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
8,tool_becomes_available_again,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
8,tool_temporarily_unavailable,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
8,user_adds_gentle_preference,5,5,5,0,0,0|1|2|3|4,mechanical effect/fresh observation only
