task_id,initial_state_id,initial_state_sha256,original_cell_status,prefix_attempts,stable_released_prefixes,control_intents,control_returns,skill_controls,warmup_controls,explicit_release_controls,fresh_prefix_stability_controls,planned_candidate_rows,candidate_apply_calls_attempted,candidate_apply_calls_returned,planned_paired_setup_calls,setup_apply_calls_attempted,event_rows_produced,post_event_controls,new_physical_retries,whole_task_success_observed,final_flat_state_sha256,prefix_result_sha256,controls_trace_sha256
0,0,747b653b2ca1feeae8f3bd994880ce743730993ea5ce4bd003623e877f26b3bd,PREFIX_STABLE_RELEASED_SWEEP_STOPPED_BEFORE_EVENTS,1,1,197,197,172,10,10,5,7,0,0,2,0,0,0,0,false,edcddba7d6a16d8d786ad9bec10d82652e393c3bf8baae62c7afdf162677242c,7ecbee4ec083f6c40873bf79cbdb5dd8852b2ab3d4327fad184d3195b9f5d6ef,69b00185c49ddcebb239a0bdc4eb469fcf41cf1f3c23e604c0fa07b3b6fd1a33
0,1,cf85ed132ae09bfad8798a3126b14879071228e0e2e7bd17c3e9d20e519cdb5a,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
0,2,be0c23f82748baf99eea1ecc4ff28eb82163945bc0bfffb509eeef0decced138,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
0,3,6929d3090ef9a3431c21b84539c99c3b481b09042bc6f3cf07ea0cc44fb65a70,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
0,4,376f48b75f50d4e1eff9e3f49f307de0bcfc44d2a081f5cb9c124cf985330c41,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
1,0,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
1,1,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
1,2,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
1,3,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
1,4,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
4,0,4365b3c5a82da7f8818c11ef5fd494c4890c17c4c3e27948dc290a9ac2f08131,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
4,1,b55dd89278457f3c00d7b4d871dc8d64e84534e5a119dd35a53e5a152c831d6a,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
4,2,1d2fdd615bb32a097ad2781dd5e9203104555e54521dd9bce6eacbb5bf718e33,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
4,3,79a2ec18a6067d027a62de697a1931bf818dffc4dd7572c39c4426e122bd35d0,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
4,4,4da1e19512111404fa9dc3c87088cf26dce60996e1e9cf5b43ca04c73465a4e6,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,,,,
8,0,61a34575b44313156895ce73996cf18dd243c396572fd0e1cd476e0e9fbe70af,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,,,,
8,1,cf1b859b0688c3c3ea64fba0ab5bd29b88ff7f28dc5893df4cb7564ac4db8cce,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,,,,
8,2,9f3bbe14f940c66de58d1dbecf0b5a2af12b48cbb93deec15c094fe4a9f5323a,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,,,,
8,3,f53dd32b70bd23ffa2dd5b1e41267ba1c59e88e245857be8b71d5f9b93865763,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,,,,
8,4,02b2b6ed14553a05557e097c0a838ce6f5d5aa05c839844aef81678752dace65,NOT_ATTEMPTED_SWEEP_STOPPED,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,,,,
