duplicate_group_id,task_id,initial_state_identity,action_trajectory_sha256,nominal_count,members,success,completion_policy_steps
trajectory-001,0,sha256:145a55c84823ff115a6f31ca6bbe681c99cc1dc6dd3bcced415465edd8e6ce90,c21c57e9273e2aa02a5c8d066aa3b4c49aa1e417d47855ea9d9d1c63cbdb23a7,1,"[[8,101]]",True,256
trajectory-002,0,sha256:376f48b75f50d4e1eff9e3f49f307de0bcfc44d2a081f5cb9c124cf985330c41,1dc2fcc6f65ed4a91ae173cb9e44979e85ac6f6c9bc8a2ad372ba60e9a96520e,1,"[[4,101]]",False,
trajectory-003,0,sha256:3d09fb7b6965328e11bd7abfdb58333428e00484c192bf88338d0f3d69ac5406,416136908c1ebb2ac8428ae9af294854b0c93df417cd6f32f829560cb0cc2414,1,"[[9,101]]",True,275
trajectory-004,0,sha256:6929d3090ef9a3431c21b84539c99c3b481b09042bc6f3cf07ea0cc44fb65a70,3d65365b46c937e808e2ad22a2b11b4ea59132f79161ed201d8ef2895e895749,1,"[[3,101]]",True,297
trajectory-005,0,sha256:747b653b2ca1feeae8f3bd994880ce743730993ea5ce4bd003623e877f26b3bd,ad7089aa1f4f6a7b85a63c2219ea45ccf06a7c6edfa9cc123adeebd183748622,1,"[[0,101]]",False,
trajectory-006,0,sha256:75c57eac81a43b69380c91c42dbeab8fdf193145c3ca3d105f2ce95bb0d29a79,e82abf1f0bedd985b84d09a73135b7d54cc91b7164db5809e17124cc9ef26530,1,"[[5,101]]",False,
trajectory-007,0,sha256:83d046a490f079a3b89c6fb4f09bdc88433d3b83ea965fa01f93fcffb93c8041,66830472ed847f3ad60b1f89b1f17f84bcbf16125fbb46c69cda59d0da9a537e,1,"[[7,101]]",True,270
trajectory-008,0,sha256:be0c23f82748baf99eea1ecc4ff28eb82163945bc0bfffb509eeef0decced138,ec9ac87da4fa0b9c94994ccdff143e3b05560de8b7fbbf1bf6d5736807305aca,1,"[[2,101]]",False,
trajectory-009,0,sha256:cf85ed132ae09bfad8798a3126b14879071228e0e2e7bd17c3e9d20e519cdb5a,8e9c3997376e8f4d1ca2948d599507ecc5d5b00b0c542046e4cc134b8070a7b8,1,"[[1,101]]",True,264
trajectory-010,0,sha256:dcb524a280152c4b53390f6427c7bc70e6ead7595eeba6bf76e80c31a43fcf11,467d155732e809c5c0d0cc2b58e362a2ba6f95f347e35c7621d7355fd5d3927c,1,"[[6,101]]",True,465
trajectory-011,1,sha256:3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,337f1faf439901de86a8e2a52645380d477bf03064805bdd7cd86916d9b05fbe,1,"[[3,101]]",True,276
trajectory-012,1,sha256:5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,2b01e34bfe0931dff6de47788c144b64509455548051811317e7e8c810699be7,1,"[[0,101]]",True,250
trajectory-013,1,sha256:63ad7d8d6f448eeffd9a59a8d1c13f1640a7a5e0226502c8436a77ee5360a5f5,98de66bbabf07781b519abd75fbed1f9e093e91fc563e2e9d9ffa2fe15a81491,1,"[[9,101]]",True,238
trajectory-014,1,sha256:a050294b0ce5aa4a4c97f2be1b3b9156d37c0d7ba90128e8f1f7b24de759e1ad,a727d523c728eca80862fa75d1fedfb3a227e7fbafe76f92ed35787b786d28fa,1,"[[8,101]]",True,269
trajectory-015,1,sha256:aa1da52eec914be753dd1d28808fa4e723a33337cfd44145c6be3d936f691819,862d4da05b7fe9a1e01a612ee25024429ca9e09a7852eda841e32c338cc7a471,1,"[[5,101]]",False,
trajectory-016,1,sha256:ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,0c221065e1ffd13a3294ff53efb636f538e2dcd7ac3abcef7d6c217ba40c05c8,1,"[[2,101]]",True,323
trajectory-017,1,sha256:c97695203f6f68548cd3a01f4999fb104c063f26046958e3999869e186e67776,1475c48925a144da10d2a075ba86a18f8cb073bdf3a00335239ad541d2c21532,1,"[[6,101]]",False,
trajectory-018,1,sha256:cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,4ae0b392669f09fd8a03936074c003557299d8e4f5cc368be87d8244a793c993,1,"[[1,101]]",True,273
trajectory-019,1,sha256:d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,51ecbfefaaf44245a7e7f0927e12e39ff5a43d03b7c3ca2e91fc0a9f69aaad42,1,"[[4,101]]",True,242
trajectory-020,1,sha256:dab0cffccccc9d31935645ecba55dab26d4c77b8c2271da415ffb527be3c2e95,76e156d410172a160e3863b5a26fbc40a120297156fa4fbdc39229d5733fff91,1,"[[7,101]]",True,246
