evidence_protocol,task_id,initial_state_id,nominal_policy_seeds,nominal_run_count,unique_trajectory_count,scientific_weight,success,completion_policy_steps,raw_policy_action_sequence_sha256,environment_policy_action_sequence_sha256,full_trace_sha256s,exact_duplicate,source
repeated_v2_clean_calibration_episode_v1_frozen_260,0,0,101;131,2,1,1,false,,8cef252d13fbf75ad02c67e397e5eb812d07dd60ba5dd450aee2974795285aa5,1019d0e6067b20c5a733c4d65423ddb133ef501755c4460622531da99836d29b,6a43204557685871cdd923d19eb820d25e9a2226af77d1dbbf36471d797520c0;be98016448c012d6fbef4cf12a094d7cff9a974cf540289618d6e3a6e3d7e16e,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,0,1,101;131,2,1,1,false,,f7b66d5cbd466051932d200eb585e3eb30539bc12087b5b6f378006355fb4a7d,d266d65eb7da8d3c64cb362fd7e1f639042318c795ecadb1f2d43b234fe9ed9e,3883596c9bb1ea8edf0928a0976f58043d27ecfe67dbd10af0883517880ec1e6;a82126d84de39e9c050b4182178ec4ed25742066c5231378e81087e3a1d4d57a,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,0,2,101;131,2,1,1,false,,933a808b0c620919844d2e6961ad24e2a7618ec16ae648782ce8b3674568df00,2c1d7e319fbc97e32b0207edfad8ee0b4107c719d2a2729bd702cd4ff47fdaa9,61cd66ba0ee334428e2f201d37547adf4af8e6e8995c8f608078a18063ad8f69;82a13eea1dc06631eb3f43b4ca036e4a6508d70639f4795a714b86af895a2aa4,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,0,3,101;131,2,1,1,false,,8050360790381647f61128c5da558461d283e33a59cfb59d472c0c867464198c,7d50384973b8356ddf268a5465dec4665ddf658978ed72b422212476b4a8f9f7,4cbb7f0d05d91c60a9c8339ea7a1a736004b1227733546f056dd82e1f398f53d;5e21eccde79feb862ac68fa2483266bfb94f1223fb4b9d590de82148aef301ae,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,0,4,101;131,2,1,1,false,,645e105ff45dcead4068750147d16e5f6199a7d78a31ea83feead865b52fd73e,0344a598bb706c48451a5f2434899613bb929652d2430255906f9046d0e1bce9,6d407edccd00cf9e8cd43b521623e03e07e1a951a89b38570ceed140c7fd2da5;fdc4c5996d2e46afc466a34ccdff596b06bed1b5b513421ee4b5c9cb5d0edbc9,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,1,0,101;131,2,1,1,true,250,214a057bf90eb16970e058be8dc31f2a60c622589897dea53225f333c2e4837b,a7cc1a4f0f99d69bf68268830c01588e04a95f0e9cf124a8c3ee165f91503265,7d81bd25d43f37ac258096083c0f460af9bd1504724ed19fbe88d16f41c7e00f;a6264bf00fd0326adfab7009fc3926c5d1410074dca7261c89b5e871ceed9295,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,1,1,101;131,2,1,1,false,,87fe378d585da5843c72a228ee0c67aa5ac1f736bb413532b8b0fa6c832e6719,fb145df865673b8ecf9f967c1b02949c04dfd5d222c808c4975f0e275388fdc5,29b5b7e5be09681e54af6f1c44dedf0e153208e5e53ddf54ac7b918b388ec61d;45842f226d6e3e2aa250237c4191ee01fc30db9a9cc176d53569514e8e555700,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,1,2,101;131,2,1,1,false,,89e4ba226fbdb186c6575b9428a3cab6455b670742eb73257affb349d0a89ce4,15e54048f184cb3636a3768e0fd61931b41d1b008e8e246f078db12af7adfcdc,9e55426e8cec4721fed8a3adb0c359ca9903a534c032acd5e199a540a5680adc;f3605ac352e373eea71e81cb88f19466c0673ef9760594b425edc69816974f31,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,1,3,101;131,2,1,1,false,,0d7eaaaa2f83c4f26d782bbbc5d4d8f74959bf4218b1a3cf16b28cbf3af81944,bf67ca6866184ea918f2d2d60cc464f67aa3506a3ff27d4cc8d7135702a9193f,4022d9fd0e1dab135b5b093cf0d9aee466a0599a89a59daea28bb619d66c112b;9193853978366fb374596ef049f03ae81585d4a64f3b5d10646c9eab0c91dedf,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
repeated_v2_clean_calibration_episode_v1_frozen_260,1,4,101;131,2,1,1,true,242,2062b565eb1e39a1028740b64ac03296c9dab1905eac603443980f0cd97efc4b,6d573a9a7aa2bd47bd1a012bf985f23c2bc701e7dc89d4e78527e0b14134c0c7,2491f6423fe75887c4de051abca06246107dcaefd1eb2bece63625b47ff726e1;f76fde6daefd8d6208d012ee04810c6dc3a6850f6a269e81e9834c5c64508f7b,true,research/repeated_v2_formal_readiness_20260906/clean_calibration_audit_01/CALIBRATION_EPISODES.csv
