event_family,task_count,event_state_cells,passing_cells,all_registered_cells_pass
TARGET_OBJECT_DISPLACED,10,50,49,False
GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,5,25,25,True
TEMPORARY_NO_GO_APPEARS,5,25,25,True
TEMPORARY_NO_GO_CLEARS,5,25,25,True
USER_ADDS_PERSISTENT_PREFERENCE,10,50,50,True
TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,10,50,49,False
TOOL_OR_TARGET_AVAILABLE_AGAIN,10,50,49,False
USER_REPLACES_ACTIVE_GOAL,9,45,45,True
USER_CANCELS_ACTIVE_GOAL,10,50,50,True
USER_REISSUES_RETIRED_GOAL,10,50,50,True
