budget_condition,split,profile,seed,method,event_ordinal,event_kind,event_id,initial_slots,lineage_depth,current_slots,reference_slots,prompt_tokens,reference_pretty_output_tokens,reference_compact_output_tokens,reference_pretty_fits_original4096,reference_compact_fits_original4096,required_context_pretty,required_context_compact,server_max_context_tokens,reference_pretty_fits_context,reference_compact_fits_context,requested_max_output_tokens,request_reservation_context_tokens,request_reservation_fits_context,configured_timeout_s,rendered_prompt_sha256,reference_document_sha256,reference_source
fixed,development,calibration,1000,CoPE,1,suspend_current,seed-1000/e01,8,2,8,8,2619,69,45,True,True,2688,2664,40960,True,True,4096,6715,True,90.0,96aa4d3a9d96beac0fb140b15953999f36c47df511a240ea929fbd9d82e0076d,9cc4ee4e85ef0dabfef12d49dcfa8c83ac8055c59f8106dffed79225828bfc12,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,1,suspend_current,seed-1000/e01,8,2,8,8,2386,2417,1563,True,True,4803,3949,40960,True,True,4096,6482,True,90.0,208ea610ebb4fb66ad79c48b18a63b22f655f582092abe06a4363c2ff4cdbe11,027cb2d1de49a6044f3306f300454e55c85c5a7498a24de47c26012338b7f4ef,independent_reference_transition
fixed,development,calibration,1000,CoPE,2,restore_current,seed-1000/e02,8,2,8,8,2721,69,45,True,True,2790,2766,40960,True,True,4096,6817,True,90.0,29a929ebc8eabd4f2f0b54f0cfd0323c6e02648535576682f4d5f322fa604109,69ec1a5bc846febe797480118e1b8603a8831e1a091ed7fba25df9485a2ea895,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,2,restore_current,seed-1000/e02,8,2,8,8,2488,2477,1601,True,True,4965,4089,40960,True,True,4096,6584,True,90.0,4293a67b93f1f4e337e6f6b3973e736d5571be73f72672aca4213084627915e4,021db275bf5da85fee4d5ed1cbc6e8101e7786f6dd2b6c5a04b452020313cc8e,independent_reference_transition
fixed,development,calibration,1000,CoPE,3,override_current,seed-1000/e03,8,2,8,9,2975,295,191,True,True,3270,3166,40960,True,True,4096,7071,True,90.0,058ec920df6aeb92fdfc9be93dba778983d80b4d0eff8ff3d0ef53cde7de71dc,62d249b1fd7bfa59d0328f5c2051cee7a1b52eed887ac8f5402556a955f985af,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,3,override_current,seed-1000/e03,8,2,8,9,2742,2904,1874,True,True,5646,4616,40960,True,True,4096,6838,True,90.0,c3b4108f06de67ce997d6b638a279eef5445a8bacbda01ba1d32fda578f97b9e,dcbb2b1ca8ecb4249fda4fb91c489b7e83cfcb106c854b4057680642f0ff4e04,independent_reference_transition
fixed,development,calibration,1000,CoPE,4,override_current,seed-1000/e04,8,2,9,10,3462,298,194,True,True,3760,3656,40960,True,True,4096,7558,True,90.0,b59d925e5a88a216700289532e2d42340596d80a46b22bad6813b68d29f238d1,2223b80c40acc3bb48d995c0ac90e2d2541998b87cadbcd4013946cddb0e8eda,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,4,override_current,seed-1000/e04,8,2,9,10,3229,3334,2150,True,True,6563,5379,40960,True,True,4096,7325,True,90.0,0f0b591a5e56dff587e35813de3f49f4bcdebd5ade5be42113b9c4c839e8a3fc,7146bb907bdcf5f047f5c83aa4491acfa7da936fdcae57dbf262093bd28f380f,independent_reference_transition
fixed,development,calibration,1000,CoPE,5,suspend_current,seed-1000/e05,8,2,10,10,3802,74,50,True,True,3876,3852,40960,True,True,4096,7898,True,90.0,e97107ce4417c066f972c3368b963ed0cccb4bd7d3d806c225b6e361f061a434,4d328d0747a8d8dbb3e8fe88d50c97d4b3f14e64d3250abb792b8335bfe11272,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,5,suspend_current,seed-1000/e05,8,2,10,10,3569,3399,2193,True,True,6968,5762,40960,True,True,4096,7665,True,90.0,acfdddd97ef8b163a7a654219fcc82b37968b4381699c3b9882c2dd9744c21e1,a211ffea120d59c67edf19a7bf0cd34ae08044ce132423ed8300be1f63d8131c,independent_reference_transition
fixed,development,calibration,1000,CoPE,6,restore_current,seed-1000/e06,8,2,10,10,3911,74,50,True,True,3985,3961,40960,True,True,4096,8007,True,90.0,2222ac9d4097d2c50db3a64ace45054996cafad8cac4c6da9b585e1baf2f9248,8412acc8da9e8039f9a89684438dccc9f064bf1ae6ac3d294bb410971739ad53,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,6,restore_current,seed-1000/e06,8,2,10,10,3678,3461,2233,True,True,7139,5911,40960,True,True,4096,7774,True,90.0,a877a57bc9cb07865ae513cd6f5cec93cf3f409d09c087bdf902103b31e07225,2b20b3da4fb9efeb1a1db8a686be14f157076f87713ea125b0dba04f7467a131,independent_reference_transition
fixed,development,calibration,1000,CoPE,7,restore_root,seed-1000/e07,8,2,10,10,4046,76,52,True,True,4122,4098,40960,True,True,4096,8142,True,90.0,71996ee906070075d70abbc5aa82aa72cc994fef57fab65f1ecbb7aa8a52e41f,f6b30bb68daff618521fd8ab4df341fc9f63216717d1cecb1765dc4a1e14f703,independent_reference_transition
fixed,development,calibration,1000,FSR-PC,7,restore_root,seed-1000/e07,8,2,10,10,3813,3666,2372,True,True,7479,6185,40960,True,True,4096,7909,True,90.0,f7ef86e7aa8817058bbe48d9b683425e40a9721309bca580889ea7f5f1dc5bbb,eea808d5fb73aebf8c33bad1cfa05ca635f57ab704079afc4b0d3aabc4698142,independent_reference_transition
fixed,development,calibration,1001,CoPE,1,suspend_current,seed-1001/e01,8,2,8,8,2613,69,45,True,True,2682,2658,40960,True,True,4096,6709,True,90.0,82ed893d05609ae02e39a3a9d1554593acdab44f48c067225c0bc21303615609,f3cdcfb7cb1db8d23ae9a3aa120a847d44ddb71e17d137837c16e6a02b4c9b7a,independent_reference_transition
fixed,development,calibration,1001,FSR-PC,1,suspend_current,seed-1001/e01,8,2,8,8,2380,2411,1557,True,True,4791,3937,40960,True,True,4096,6476,True,90.0,13df9f4ea97cd1480efca46c46e9d64d05e2400925ec4bb55e83ced8e71d79ad,7212468ac94ca17300cacb0af98f22ae96dfec1bda288599bb98e54b5383d87e,independent_reference_transition
fixed,development,calibration,1001,CoPE,2,restore_current,seed-1001/e02,8,2,8,8,2715,69,45,True,True,2784,2760,40960,True,True,4096,6811,True,90.0,8ac7a8b031a5e74020688540613755d2f6b669b7d6563d44ba169e27ee6a59f2,5dc3bfb3fef9f03c4cddfabd04249c650c0d177b2428581a2f05147d380602d4,independent_reference_transition
fixed,development,calibration,1001,FSR-PC,2,restore_current,seed-1001/e02,8,2,8,8,2482,2471,1595,True,True,4953,4077,40960,True,True,4096,6578,True,90.0,d057dd7811eea9e6500a1a9e6be39d08431e8a7c8a48757b1ef599ddfc4892a0,eed1fd1140cb97dc76ddfe2445f1bc849143a0ecb079c9a5546814abc77cc32e,independent_reference_transition
fixed,development,calibration,1001,CoPE,3,override_current,seed-1001/e03,8,2,8,9,2967,293,189,True,True,3260,3156,40960,True,True,4096,7063,True,90.0,4cdf682a184161fa6c04f0046ff99fb4c42e3a055b5f446824b15e834d9945e2,2aeed0ea58e00d94fed9516e60f59820cff2a4f6c9bcfe0b176ea1f99fd7e16b,independent_reference_transition
