case_id,normalization_version,legacy_already_strict,normalized_strict,idempotent,decomposed_semantic_accepted,legacy_sha256,normalized_sha256,caller_state_unchanged,pass
no_op,stable-record-order-v1,False,True,True,True,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,77e20de1a8542754caa5d9d15214fdcf349c34eb8aacbe0a607e381c2fa1f272,True,True
replace_pending_target,stable-record-order-v1,False,True,True,True,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,7bad82e4d4c76ae28a0625f58dab86a2c37cd69ba14c178ec145b91fd4a10e53,True,True
wrong_source_revoke,stable-record-order-v1,False,True,True,True,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,77e20de1a8542754caa5d9d15214fdcf349c34eb8aacbe0a607e381c2fa1f272,True,True
continuity_invalid,stable-record-order-v1,False,True,True,True,4fd057cd11539191dee93443c12f208bdc69166e334ce37148a24afc1e14eff1,c2dcfac803cf1204e1fb68bb2de617321d635216254fb19fde63360f68b4c0eb,True,True
cancel_sibling,stable-record-order-v1,False,True,True,True,0cddfcb0f709bc9915b78bb7816f95935d1217a0a72b253b05a8a64813129474,0ad6072ea667c897a5d4c6e9c3d53d68101437d930952696625f8079fc9c09a0,True,True
activate_override,stable-record-order-v1,False,True,True,True,941fabeb7ea52631942e5f6f4e1233fadf200fbbb8ce48a56fba57eda30510a1,176b507587241a56cf695bc8f18361ff39ff55db187068e9d9415dfa9b15c907,True,True
release_override,stable-record-order-v1,False,True,True,True,c01c682f2a1e3efa67449f6a8a673aa9ee820107b7f7cfd8520fb1fcd1057c3a,962068a7af736f2d0cacf4bc0536d8fde259ac817695aaf8b469eec625825490,True,True
world_change_release,stable-record-order-v1,False,True,True,True,616cf7ba9dcef7d0feb7e026c787bfc3aada81feaacddea9b1f9a9ac0441edf1,8b12a27a819423be2a876f0173756eec89a09827d996c80680c0b083a2a05dbd,True,True
stale_version,stable-record-order-v1,False,True,True,True,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,77e20de1a8542754caa5d9d15214fdcf349c34eb8aacbe0a607e381c2fa1f272,True,True
idempotence,stable-record-order-v1,False,True,True,True,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,77e20de1a8542754caa5d9d15214fdcf349c34eb8aacbe0a607e381c2fa1f272,True,True
irrelevant_sibling_change,stable-record-order-v1,False,True,True,True,20bf8a638a077d75bfea3e7c84c7a6c481574d40c92b6f73eaaadafcdb2fa694,b5bad35d3ff76522115c14789bc57cbb01558fbe9bf5b507bd7d704bf55e1283,True,True
continuity_valid,stable-record-order-v1,False,True,True,True,bdb46b21046957666d098d6929236b51def9c6d5ba9968a5336f5e87bc25a944,15a4b185f269f03c6908005b6bc38e684d5768189a9ba329be170828c88cc87f,True,True
