case_id,canonical_sha256,exact_accepted,decomposed_accepted,caller_state_unchanged,pass
no_op,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,True,True,True
replace_pending_target,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,True,True,True
wrong_source_revoke,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,True,True,True
continuity_invalid,4fd057cd11539191dee93443c12f208bdc69166e334ce37148a24afc1e14eff1,True,True,True,True
cancel_sibling,0cddfcb0f709bc9915b78bb7816f95935d1217a0a72b253b05a8a64813129474,True,True,True,True
activate_override,941fabeb7ea52631942e5f6f4e1233fadf200fbbb8ce48a56fba57eda30510a1,True,True,True,True
release_override,c01c682f2a1e3efa67449f6a8a673aa9ee820107b7f7cfd8520fb1fcd1057c3a,True,True,True,True
world_change_release,616cf7ba9dcef7d0feb7e026c787bfc3aada81feaacddea9b1f9a9ac0441edf1,True,True,True,True
stale_version,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,True,True,True
idempotence,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,True,True,True
irrelevant_sibling_change,20bf8a638a077d75bfea3e7c84c7a6c481574d40c92b6f73eaaadafcdb2fa694,True,True,True,True
continuity_valid,bdb46b21046957666d098d6929236b51def9c6d5ba9968a5336f5e87bc25a944,True,True,True,True
