case_id,arm,recurrence_depth,input_sha256,normalized_request_sha256,output_contract_sha256,oracle_candidate_sha256,oracle_proposal_bytes,wire_bytes
occurrence-v3-h00-d1,cope,1,e7d44ad2197e55f35fd31c7b54a51622d9d09b4547ce35b33df44641a31719eb,bd4d444cadb3938e3c1bc487bd810e75534ac287a07c954fafcef882bef3687d,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,b267431d80c70590e022dc0f82f92692c4a4e7a5f155463d288117446322ef4b,277,5920
occurrence-v3-h00-d1,neutral_patch,1,e7d44ad2197e55f35fd31c7b54a51622d9d09b4547ce35b33df44641a31719eb,bd4d444cadb3938e3c1bc487bd810e75534ac287a07c954fafcef882bef3687d,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,b267431d80c70590e022dc0f82f92692c4a4e7a5f155463d288117446322ef4b,1701,7578
occurrence-v3-h00-d1,governed_delta,1,e7d44ad2197e55f35fd31c7b54a51622d9d09b4547ce35b33df44641a31719eb,bd4d444cadb3938e3c1bc487bd810e75534ac287a07c954fafcef882bef3687d,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,b267431d80c70590e022dc0f82f92692c4a4e7a5f155463d288117446322ef4b,1954,7177
occurrence-v3-h00-d1,fsr_pc,1,e7d44ad2197e55f35fd31c7b54a51622d9d09b4547ce35b33df44641a31719eb,bd4d444cadb3938e3c1bc487bd810e75534ac287a07c954fafcef882bef3687d,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,b267431d80c70590e022dc0f82f92692c4a4e7a5f155463d288117446322ef4b,2755,6518
occurrence-v3-h00-d1,full_replan,1,e7d44ad2197e55f35fd31c7b54a51622d9d09b4547ce35b33df44641a31719eb,bd4d444cadb3938e3c1bc487bd810e75534ac287a07c954fafcef882bef3687d,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,b267431d80c70590e022dc0f82f92692c4a4e7a5f155463d288117446322ef4b,406,6175
occurrence-v3-h00-d2,neutral_patch,2,934779ea9bba7a8f5593263ce5143c43c6e7efd0028c6ee7cff434441ef7a4ff,6aba6c74e432ad29f8b7e70392438cae4382179174fd443a615e95181b79977d,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,165e3dec6b41cff45e602e3248bf244d725e96e4d5b48bddec83a4043fd7e5ba,1701,8724
occurrence-v3-h00-d2,governed_delta,2,934779ea9bba7a8f5593263ce5143c43c6e7efd0028c6ee7cff434441ef7a4ff,6aba6c74e432ad29f8b7e70392438cae4382179174fd443a615e95181b79977d,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,165e3dec6b41cff45e602e3248bf244d725e96e4d5b48bddec83a4043fd7e5ba,1954,8323
occurrence-v3-h00-d2,fsr_pc,2,934779ea9bba7a8f5593263ce5143c43c6e7efd0028c6ee7cff434441ef7a4ff,6aba6c74e432ad29f8b7e70392438cae4382179174fd443a615e95181b79977d,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,165e3dec6b41cff45e602e3248bf244d725e96e4d5b48bddec83a4043fd7e5ba,3793,7664
occurrence-v3-h00-d2,full_replan,2,934779ea9bba7a8f5593263ce5143c43c6e7efd0028c6ee7cff434441ef7a4ff,6aba6c74e432ad29f8b7e70392438cae4382179174fd443a615e95181b79977d,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,165e3dec6b41cff45e602e3248bf244d725e96e4d5b48bddec83a4043fd7e5ba,495,7321
occurrence-v3-h00-d2,cope,2,934779ea9bba7a8f5593263ce5143c43c6e7efd0028c6ee7cff434441ef7a4ff,6aba6c74e432ad29f8b7e70392438cae4382179174fd443a615e95181b79977d,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,165e3dec6b41cff45e602e3248bf244d725e96e4d5b48bddec83a4043fd7e5ba,277,7066
occurrence-v3-h00-d3,governed_delta,3,80ac43745c399dee28337b49d689fbac7fe9bb222c1522500a113963bbc8132b,d74ed9ab01d270d9df2f7c46368cbb4517a9c7fbe9f4a1eb8b382d8096aaa7c6,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,1691af2a44f95326652321972b5c967c7e6590e2b4b71114ec9f702393712f50,1954,9469
occurrence-v3-h00-d3,fsr_pc,3,80ac43745c399dee28337b49d689fbac7fe9bb222c1522500a113963bbc8132b,d74ed9ab01d270d9df2f7c46368cbb4517a9c7fbe9f4a1eb8b382d8096aaa7c6,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,1691af2a44f95326652321972b5c967c7e6590e2b4b71114ec9f702393712f50,4831,8810
occurrence-v3-h00-d3,full_replan,3,80ac43745c399dee28337b49d689fbac7fe9bb222c1522500a113963bbc8132b,d74ed9ab01d270d9df2f7c46368cbb4517a9c7fbe9f4a1eb8b382d8096aaa7c6,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,1691af2a44f95326652321972b5c967c7e6590e2b4b71114ec9f702393712f50,584,8467
occurrence-v3-h00-d3,cope,3,80ac43745c399dee28337b49d689fbac7fe9bb222c1522500a113963bbc8132b,d74ed9ab01d270d9df2f7c46368cbb4517a9c7fbe9f4a1eb8b382d8096aaa7c6,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,1691af2a44f95326652321972b5c967c7e6590e2b4b71114ec9f702393712f50,277,8212
occurrence-v3-h00-d3,neutral_patch,3,80ac43745c399dee28337b49d689fbac7fe9bb222c1522500a113963bbc8132b,d74ed9ab01d270d9df2f7c46368cbb4517a9c7fbe9f4a1eb8b382d8096aaa7c6,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,1691af2a44f95326652321972b5c967c7e6590e2b4b71114ec9f702393712f50,1701,9870
occurrence-v3-h00-d4,fsr_pc,4,39e484f2976f3c938dcefbcf50ef55631dbb7b2bc795a43460fd6851413658b3,6290bfae512d7efbfdfea27901195c937707140ec22cbb4cff4e3a57d02c6196,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,330be66714d9610a46e2cf7f1bbc292dc40f288d12516bfffdfbc8cfffa8a98e,5869,9956
occurrence-v3-h00-d4,full_replan,4,39e484f2976f3c938dcefbcf50ef55631dbb7b2bc795a43460fd6851413658b3,6290bfae512d7efbfdfea27901195c937707140ec22cbb4cff4e3a57d02c6196,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,330be66714d9610a46e2cf7f1bbc292dc40f288d12516bfffdfbc8cfffa8a98e,673,9613
occurrence-v3-h00-d4,cope,4,39e484f2976f3c938dcefbcf50ef55631dbb7b2bc795a43460fd6851413658b3,6290bfae512d7efbfdfea27901195c937707140ec22cbb4cff4e3a57d02c6196,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,330be66714d9610a46e2cf7f1bbc292dc40f288d12516bfffdfbc8cfffa8a98e,277,9358
occurrence-v3-h00-d4,neutral_patch,4,39e484f2976f3c938dcefbcf50ef55631dbb7b2bc795a43460fd6851413658b3,6290bfae512d7efbfdfea27901195c937707140ec22cbb4cff4e3a57d02c6196,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,330be66714d9610a46e2cf7f1bbc292dc40f288d12516bfffdfbc8cfffa8a98e,1701,11016
occurrence-v3-h00-d4,governed_delta,4,39e484f2976f3c938dcefbcf50ef55631dbb7b2bc795a43460fd6851413658b3,6290bfae512d7efbfdfea27901195c937707140ec22cbb4cff4e3a57d02c6196,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,330be66714d9610a46e2cf7f1bbc292dc40f288d12516bfffdfbc8cfffa8a98e,1954,10615
occurrence-v3-h01-d1,full_replan,1,27e90af49c87ec3e8d4b356b1076f19f6ad8b649bc9babc2ef14c66bf8c4c5f7,6f6637079f5a627d16015c5a9fd5362f33e968a36deeb0e2b7c3e9837b4e10f3,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,5cc10221a6b643dc7a26e60829c328e2748f96a3b6f66973e0cac82b7ae0dd4d,410,6233
occurrence-v3-h01-d1,cope,1,27e90af49c87ec3e8d4b356b1076f19f6ad8b649bc9babc2ef14c66bf8c4c5f7,6f6637079f5a627d16015c5a9fd5362f33e968a36deeb0e2b7c3e9837b4e10f3,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,5cc10221a6b643dc7a26e60829c328e2748f96a3b6f66973e0cac82b7ae0dd4d,281,5978
occurrence-v3-h01-d1,neutral_patch,1,27e90af49c87ec3e8d4b356b1076f19f6ad8b649bc9babc2ef14c66bf8c4c5f7,6f6637079f5a627d16015c5a9fd5362f33e968a36deeb0e2b7c3e9837b4e10f3,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,5cc10221a6b643dc7a26e60829c328e2748f96a3b6f66973e0cac82b7ae0dd4d,1714,7636
occurrence-v3-h01-d1,governed_delta,1,27e90af49c87ec3e8d4b356b1076f19f6ad8b649bc9babc2ef14c66bf8c4c5f7,6f6637079f5a627d16015c5a9fd5362f33e968a36deeb0e2b7c3e9837b4e10f3,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,5cc10221a6b643dc7a26e60829c328e2748f96a3b6f66973e0cac82b7ae0dd4d,1970,7235
occurrence-v3-h01-d1,fsr_pc,1,27e90af49c87ec3e8d4b356b1076f19f6ad8b649bc9babc2ef14c66bf8c4c5f7,6f6637079f5a627d16015c5a9fd5362f33e968a36deeb0e2b7c3e9837b4e10f3,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,5cc10221a6b643dc7a26e60829c328e2748f96a3b6f66973e0cac82b7ae0dd4d,2774,6576
occurrence-v3-h01-d2,cope,2,51473f6e95fe207219ed48236dc552ea81fee16116c3de53b7c8e856877356fb,b64917334e2bf26f1e92f51da8ec1ef73e7f98891ea98f53496d0b2b2af600be,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,c185b857e270b787cff1cd8d015649f900ac60c5b7c06a91fefaeaa0e655a28d,281,7140
occurrence-v3-h01-d2,neutral_patch,2,51473f6e95fe207219ed48236dc552ea81fee16116c3de53b7c8e856877356fb,b64917334e2bf26f1e92f51da8ec1ef73e7f98891ea98f53496d0b2b2af600be,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,c185b857e270b787cff1cd8d015649f900ac60c5b7c06a91fefaeaa0e655a28d,1714,8798
occurrence-v3-h01-d2,governed_delta,2,51473f6e95fe207219ed48236dc552ea81fee16116c3de53b7c8e856877356fb,b64917334e2bf26f1e92f51da8ec1ef73e7f98891ea98f53496d0b2b2af600be,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,c185b857e270b787cff1cd8d015649f900ac60c5b7c06a91fefaeaa0e655a28d,1970,8397
occurrence-v3-h01-d2,fsr_pc,2,51473f6e95fe207219ed48236dc552ea81fee16116c3de53b7c8e856877356fb,b64917334e2bf26f1e92f51da8ec1ef73e7f98891ea98f53496d0b2b2af600be,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,c185b857e270b787cff1cd8d015649f900ac60c5b7c06a91fefaeaa0e655a28d,3828,7738
occurrence-v3-h01-d2,full_replan,2,51473f6e95fe207219ed48236dc552ea81fee16116c3de53b7c8e856877356fb,b64917334e2bf26f1e92f51da8ec1ef73e7f98891ea98f53496d0b2b2af600be,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,c185b857e270b787cff1cd8d015649f900ac60c5b7c06a91fefaeaa0e655a28d,503,7395
occurrence-v3-h01-d3,neutral_patch,3,31af805340d840cc7ac6a4f1b483828c19d0c60d5c63e4cbeaa92b62b844bf17,939dd0788335db45db8d7c16eac7b8fbef8bad868b416fdd84d3fd08bdb49379,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,fa1b162275453c3a4553899f32d3d15f5a9b0166097c1266e29d6f1e9b1f3b76,1714,9960
occurrence-v3-h01-d3,governed_delta,3,31af805340d840cc7ac6a4f1b483828c19d0c60d5c63e4cbeaa92b62b844bf17,939dd0788335db45db8d7c16eac7b8fbef8bad868b416fdd84d3fd08bdb49379,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,fa1b162275453c3a4553899f32d3d15f5a9b0166097c1266e29d6f1e9b1f3b76,1970,9559
occurrence-v3-h01-d3,fsr_pc,3,31af805340d840cc7ac6a4f1b483828c19d0c60d5c63e4cbeaa92b62b844bf17,939dd0788335db45db8d7c16eac7b8fbef8bad868b416fdd84d3fd08bdb49379,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,fa1b162275453c3a4553899f32d3d15f5a9b0166097c1266e29d6f1e9b1f3b76,4882,8900
occurrence-v3-h01-d3,full_replan,3,31af805340d840cc7ac6a4f1b483828c19d0c60d5c63e4cbeaa92b62b844bf17,939dd0788335db45db8d7c16eac7b8fbef8bad868b416fdd84d3fd08bdb49379,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,fa1b162275453c3a4553899f32d3d15f5a9b0166097c1266e29d6f1e9b1f3b76,596,8557
