stage,method,condition,attempted,completed,evaluable,events_scheduled,events_delivered,adaptation_valid,controller_valid,task_success,infrastructure_failures,controller_failures,adaptation_failures,mean_audit_coverage,mean_normalized_edit_distance,mean_environment_steps,mean_adaptation_latency_s
B,CoPE,I1,5,5,5,5,5,5,5,5,0,0,0,1.000000,0.666700,671.200,2.803271
B,CoPE,I2,5,5,5,10,10,2,5,5,0,0,3,1.000000,0.360000,774.800,9.116896
B,CoPE,I3,5,5,5,10,10,5,5,5,0,0,0,1.000000,0.562500,799.400,5.875391
B,CoPE,I4,5,5,5,10,10,2,5,2,0,0,3,1.000000,0.360000,772.600,9.057952
B,FSR-PC,I1,5,5,5,5,5,5,5,5,0,0,0,0.667000,1.000000,671.200,2.783535
B,FSR-PC,I2,5,5,5,10,10,2,5,5,0,0,3,0.333000,1.000000,774.800,9.082726
B,FSR-PC,I3,5,5,5,10,10,5,5,5,0,0,0,0.500000,1.000000,799.400,5.912881
B,FSR-PC,I4,5,5,5,10,10,2,5,2,0,0,3,0.333000,1.000000,772.600,9.072243
B,no_adaptation,I1,5,5,5,5,5,0,5,0,0,0,5,0.000000,0.000000,654.400,0.830705
B,no_adaptation,I2,5,5,5,10,10,2,5,3,0,0,3,0.000000,0.000000,706.800,9.068477
B,no_adaptation,I3,5,5,5,10,10,0,5,0,0,0,5,0.000000,0.000000,655.200,2.952250
B,no_adaptation,I4,5,5,5,10,10,2,5,0,0,0,3,0.000000,0.000000,706.800,9.074827
C,CoPE,I3,5,5,5,10,10,5,5,5,0,0,0,1.000000,0.562500,799.400,5.802351
C,CoPE,I4,5,5,5,10,10,2,5,2,0,0,3,1.000000,0.360000,772.600,9.272169
C,CoPE,I5,5,5,5,15,15,0,5,2,0,0,5,1.000000,0.377760,785.000,38.538171
C,FSR-PC,I3,5,5,5,10,10,5,5,5,0,0,0,0.500000,1.000000,799.400,5.852845
C,FSR-PC,I4,5,5,5,10,10,2,5,2,0,0,3,0.333000,1.000000,772.600,9.230441
C,FSR-PC,I5,5,5,5,15,15,0,5,2,0,0,5,0.200000,1.000000,777.400,21.837730
C,FSR-PC_provenance,I3,5,5,5,10,10,5,5,5,0,0,0,1.000000,1.000000,799.400,5.828624
C,FSR-PC_provenance,I4,5,5,5,10,10,2,5,2,0,0,3,1.000000,1.000000,772.600,9.311194
C,FSR-PC_provenance,I5,5,5,5,15,15,0,5,2,0,0,5,0.800000,1.000000,777.400,21.976495
C,FSR-PC_stable_ids,I3,5,5,5,10,10,5,5,5,0,0,0,0.500000,1.000000,799.400,5.842031
C,FSR-PC_stable_ids,I4,5,5,5,10,10,2,5,2,0,0,3,0.333000,1.000000,772.600,9.293111
C,FSR-PC_stable_ids,I5,5,5,5,15,15,0,5,2,0,0,5,0.200000,1.000000,777.400,21.971414
D,CoPE_full,I3,5,5,5,10,10,5,5,5,0,0,0,1.000000,0.562500,799.400,5.775254
D,CoPE_full,I4,5,5,5,10,10,2,5,2,0,0,3,1.000000,0.360000,772.600,9.214973
D,CoPE_full,I5,5,5,5,15,15,0,5,2,0,0,5,1.000000,0.377760,785.000,39.042045
D,CoPE_no_rollout_verification,I3,5,5,5,10,10,5,5,5,0,0,0,1.000000,0.562500,799.800,0.601930
D,CoPE_no_rollout_verification,I4,5,5,5,10,10,2,5,2,0,0,3,1.000000,0.360000,812.000,7.573980
D,CoPE_no_rollout_verification,I5,5,5,5,15,15,0,5,2,0,0,5,1.000000,0.377760,841.800,13.843596
