scope,source_files,source_bytes,new_canonical,reuse_new,reuse_existing,new_bytes
archive_members/cope_fsrpc_r2_source_4276d9ec.zip,155,6133670,4,151,0,85138
archive_members/cope_fsrpc_r3_lineage_handoff_2026-09-04_v2.tar.gz,186,6308791,0,186,0,0
archive_members/openvla_libero10_calibration_v2_evidence_20260729.tar.gz,94,7161360,0,94,0,0
archive_members/rekep_repair_v2_source_f3926073.zip,162,1034067,0,162,0,0
fvl10/capacity_guidance_frozen_20260905,2,80745,2,0,0,80745
fvl10/capacity_initial,2,40715,2,0,0,40715
fvl10/capacity_native40960,2,40715,2,0,0,40715
fvl10/cope_fsrpc_r4,200,5651821,0,200,0,0
fvl10/experiment_guidance_frozen_20260905.json,1,5073,0,1,0,0
fvl10/server_attempt1,2,7869,2,0,0,7869
fvl10/server_attempt2,2,154854,2,0,0,154854
fvl10/server_attempt3,2,9958,2,0,0,9958
fvl10/server_attempt4,2,825187,2,0,0,825187
fvl10/server_attempt5,2,1885957,2,0,0,1885957
fvl10/throughput_guidance_dev_20260905.json,1,32008,1,0,0,32008
fvl12/codex-deliveries,37,2293099,36,1,0,2285046
fvl12/codex-worktrees/cope-canary,71,555910,16,0,55,211843
fvl12/codex-worktrees/cope-formal-integration,1081,10461592,11,1,1069,148244
fvl12/codex-worktrees/cope-fsr-native-ntrack,924,8122904,60,7,857,1859426
fvl12/codex-worktrees/cope-runtime-audit-retention,1109,10605749,31,12,1066,155769
fvl12/codex-worktrees/cope-runtime-config-20260803,7,63009,3,4,0,30720
fvl12/codex-worktrees/cope-shared-envelope,1620,19078290,1,4,1615,190
fvl12/codex-worktrees/cope-true-clean-runtime,1081,10461928,0,15,1066,0
fvl12/codex-worktrees/cope-x15-learned-live,1106,10586153,10,5,1091,180852
fvl12/codex-worktrees/cope-x16-independent,1129,11272700,1,12,1116,647
fvl12/codex-worktrees/cope-x17-structured,1146,11453798,0,13,1133,0
fvl12/codex-worktrees/dashboard-disturbance-smoke,82,633209,15,7,60,116425
fvl12/codex-worktrees/experiment-protocol,269,11553771,161,87,21,9704876
