case_id,family,arm,oracle_accepted,semantic_state_sha256,transaction_meta_sha256,common_input_sha256,rule_clause_count
SCE-S04-01,scale_04_single_root_expiry,cope_semantic,True,f234f0d2add4430314150047e8267dd901ef8c604f6ddae6e898eb6391f8ba83,d327ed474d44e96200193e4ac6b1ace76b0062bb4f3629640359c18a80d54453,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1
SCE-S04-01,scale_04_single_root_expiry,neutral_typed,True,f234f0d2add4430314150047e8267dd901ef8c604f6ddae6e898eb6391f8ba83,d327ed474d44e96200193e4ac6b1ace76b0062bb4f3629640359c18a80d54453,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1
SCE-S04-01,scale_04_single_root_expiry,compact_semantic,True,f234f0d2add4430314150047e8267dd901ef8c604f6ddae6e898eb6391f8ba83,d327ed474d44e96200193e4ac6b1ace76b0062bb4f3629640359c18a80d54453,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1
SCE-S04-01,scale_04_single_root_expiry,fsr_semantic,True,f234f0d2add4430314150047e8267dd901ef8c604f6ddae6e898eb6391f8ba83,d327ed474d44e96200193e4ac6b1ace76b0062bb4f3629640359c18a80d54453,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1
SCE-S04-02,scale_04_expiry_with_running_action,cope_semantic,True,a7fdb24abadea03211a48a3e32aebae94772e2b151fa777d9018ef79064a4dd6,1c4036ce05050edcea2f25575278652dd835daecf54feccefd6c90bfaf2a7eb5,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,2
SCE-S04-02,scale_04_expiry_with_running_action,neutral_typed,True,a7fdb24abadea03211a48a3e32aebae94772e2b151fa777d9018ef79064a4dd6,1c4036ce05050edcea2f25575278652dd835daecf54feccefd6c90bfaf2a7eb5,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,2
SCE-S04-02,scale_04_expiry_with_running_action,compact_semantic,True,a7fdb24abadea03211a48a3e32aebae94772e2b151fa777d9018ef79064a4dd6,1c4036ce05050edcea2f25575278652dd835daecf54feccefd6c90bfaf2a7eb5,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,2
SCE-S04-02,scale_04_expiry_with_running_action,fsr_semantic,True,a7fdb24abadea03211a48a3e32aebae94772e2b151fa777d9018ef79064a4dd6,1c4036ce05050edcea2f25575278652dd835daecf54feccefd6c90bfaf2a7eb5,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,2
SCE-S04-03,scale_04_conjunctive_dependency_block,cope_semantic,True,2a8680569e87b5e45a14bf959854744a85036f5041e47cb2e94ae192d1e9673f,3999b608da6d352a2c5bf557a8e695eb7ea45607836e2b38803b2e36ebe8eff2,b66d62e8f01b2cdd9039f7008c4e332b0ae342024b5205d20ab5f8293981fc59,3
SCE-S04-03,scale_04_conjunctive_dependency_block,neutral_typed,True,2a8680569e87b5e45a14bf959854744a85036f5041e47cb2e94ae192d1e9673f,3999b608da6d352a2c5bf557a8e695eb7ea45607836e2b38803b2e36ebe8eff2,b66d62e8f01b2cdd9039f7008c4e332b0ae342024b5205d20ab5f8293981fc59,3
