case_id,family,method,warmups,recorded_repetitions,median_total_ns,median_peak_bytes,median_stage_ns,median_validate_ns,median_commit_ns
no_op,no_op,tx_exec,20,100,1131409,20287,298085,296413,213088
no_op,no_op,cope,20,100,617924,15881,0,0,0
no_op,no_op,fsr_pc,20,100,583924,15881,0,0,0
cancel_sibling,cancellation,tx_exec,20,100,1361821,20561,536212,268664,177755
cancel_sibling,cancellation,cope,20,100,584499,13867,0,0,0
cancel_sibling,cancellation,fsr_pc,20,100,548108,13859,0,0,0
replace_pending_target,replacement,tx_exec,20,100,1775854,29393,724668,331257,257069
replace_pending_target,replacement,cope,20,100,710824,20208,0,0,0
replace_pending_target,replacement,fsr_pc,20,100,667253,20200,0,0,0
activate_override,override,tx_exec,20,100,1695725,28040,698380,315723,236249
activate_override,override,cope,20,100,679468,19062,0,0,0
activate_override,override,fsr_pc,20,100,636293,19054,0,0,0
release_override,release,tx_exec,20,100,1720790,28078,671591,340057,246435
release_override,release,cope,20,100,737355,19823,0,0,0
release_override,release,fsr_pc,20,100,691616,19815,0,0,0
world_change_release,release_world_change,tx_exec,20,100,1831669,29434,740801,349411,251542
world_change_release,release_world_change,cope,20,100,756750,20235,0,0,0
world_change_release,release_world_change,fsr_pc,20,100,711501,20227,0,0,0
wrong_source_revoke,authorization,tx_exec,20,100,1126728,20287,297148,292090,214312
wrong_source_revoke,authorization,cope,20,100,609182,15881,0,0,0
wrong_source_revoke,authorization,fsr_pc,20,100,577705,15881,0,0,0
stale_version,version,tx_exec,20,100,1123135,20287,297019,291628,213115
stale_version,version,cope,20,100,609700,15881,0,0,0
stale_version,version,fsr_pc,20,100,576874,15881,0,0,0
idempotence,idempotence,tx_exec,20,100,1126884,20287,298108,292491,213488
idempotence,idempotence,cope,20,100,611640,15881,0,0,0
idempotence,idempotence,fsr_pc,20,100,577473,15881,0,0,0
irrelevant_sibling_change,irrelevant_change,tx_exec,20,100,1233371,21040,373727,301926,210690
irrelevant_sibling_change,irrelevant_change,cope,20,100,625437,15964,0,0,0
irrelevant_sibling_change,irrelevant_change,fsr_pc,20,100,586043,15956,0,0,0
continuity_valid,continuity,tx_exec,20,100,1230231,21021,373688,300596,210532
continuity_valid,continuity,cope,20,100,621011,15943,0,0,0
continuity_valid,continuity,fsr_pc,20,100,582694,15935,0,0,0
continuity_invalid,continuity,tx_exec,20,100,1802600,29801,749588,330507,253848
continuity_invalid,continuity,cope,20,100,716315,20245,0,0,0
continuity_invalid,continuity,fsr_pc,20,100,664199,20181,0,0,0
