analysis,independent_templates,discordant_pairs,discordance_rate,minimum_cope_only_wins_for_two_sided_p_lt_0.05,maximum_compact_only_losses,exact_p_at_threshold,conditional_cope_win_probability,power
fixed_discordant_pairs,36,1,,none,none,,,
fixed_discordant_pairs,36,2,,none,none,,,
fixed_discordant_pairs,36,3,,none,none,,,
fixed_discordant_pairs,36,4,,none,none,,,
fixed_discordant_pairs,36,5,,none,none,,,
fixed_discordant_pairs,36,6,,6,0,0.031250,,
fixed_discordant_pairs,36,7,,7,0,0.015625,,
fixed_discordant_pairs,36,8,,8,0,0.007812,,
fixed_discordant_pairs,36,9,,8,1,0.039062,,
fixed_discordant_pairs,36,10,,9,1,0.021484,,
fixed_discordant_pairs,36,11,,10,1,0.011719,,
fixed_discordant_pairs,36,12,,10,2,0.038574,,
fixed_discordant_pairs,36,13,,11,2,0.022461,,
fixed_discordant_pairs,36,14,,12,2,0.012939,,
fixed_discordant_pairs,36,15,,12,3,0.035156,,
fixed_discordant_pairs,36,16,,13,3,0.021271,,
fixed_discordant_pairs,36,17,,13,4,0.049042,,
fixed_discordant_pairs,36,18,,14,4,0.030884,,
fixed_discordant_pairs,36,19,,15,4,0.019211,,
fixed_discordant_pairs,36,20,,15,5,0.041389,,
fixed_discordant_pairs,36,21,,16,5,0.026604,,
fixed_discordant_pairs,36,22,,17,5,0.016901,,
fixed_discordant_pairs,36,23,,17,6,0.034690,,
fixed_discordant_pairs,36,24,,18,6,0.022656,,
fixed_discordant_pairs,36,25,,18,7,0.043285,,
fixed_discordant_pairs,36,26,,19,7,0.028959,,
fixed_discordant_pairs,36,27,,20,7,0.019157,,
fixed_discordant_pairs,36,28,,20,8,0.035698,,
fixed_discordant_pairs,36,29,,21,8,0.024120,,
fixed_discordant_pairs,36,30,,21,9,0.042774,,
fixed_discordant_pairs,36,31,,22,9,0.029449,,
fixed_discordant_pairs,36,32,,23,9,0.020062,,
fixed_discordant_pairs,36,33,,23,10,0.035082,,
fixed_discordant_pairs,36,34,,24,10,0.024307,,
fixed_discordant_pairs,36,35,,24,11,0.040960,,
fixed_discordant_pairs,36,36,,25,11,0.028817,,
unconditional_sensitivity,36,random,0.250000,see_fixed_rows,see_fixed_rows,,0.65,0.076591
unconditional_sensitivity,36,random,0.250000,see_fixed_rows,see_fixed_rows,,0.70,0.129517
unconditional_sensitivity,36,random,0.250000,see_fixed_rows,see_fixed_rows,,0.75,0.207628
unconditional_sensitivity,36,random,0.250000,see_fixed_rows,see_fixed_rows,,0.80,0.314561
unconditional_sensitivity,36,random,0.333333,see_fixed_rows,see_fixed_rows,,0.65,0.110115
unconditional_sensitivity,36,random,0.333333,see_fixed_rows,see_fixed_rows,,0.70,0.191264
unconditional_sensitivity,36,random,0.333333,see_fixed_rows,see_fixed_rows,,0.75,0.307334
unconditional_sensitivity,36,random,0.333333,see_fixed_rows,see_fixed_rows,,0.80,0.456222
unconditional_sensitivity,36,random,0.500000,see_fixed_rows,see_fixed_rows,,0.65,0.181641
unconditional_sensitivity,36,random,0.500000,see_fixed_rows,see_fixed_rows,,0.70,0.320165
unconditional_sensitivity,36,random,0.500000,see_fixed_rows,see_fixed_rows,,0.75,0.499252
unconditional_sensitivity,36,random,0.500000,see_fixed_rows,see_fixed_rows,,0.80,0.690577
unconditional_sensitivity,36,random,0.666667,see_fixed_rows,see_fixed_rows,,0.65,0.238598
unconditional_sensitivity,36,random,0.666667,see_fixed_rows,see_fixed_rows,,0.70,0.422636
unconditional_sensitivity,36,random,0.666667,see_fixed_rows,see_fixed_rows,,0.75,0.636776
unconditional_sensitivity,36,random,0.666667,see_fixed_rows,see_fixed_rows,,0.80,0.826259
